"id","author","name","archive_type_id","archive_type_name","image","score","down_format","upload_time","publish_house","publish_month","content_intro","download_url","key_words"
"1","弗雷・卡尔","技术陷阱","14","认知科学","1693380712834.jpg","4.5","epub","2周前","中信出版社","2020/06","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","技术 陷阱 工业革命 创造性创新 替代性创新 失业"
"2","陈春花","价值共生","14","认知科学","1693382935689.jpg","3.5","epub","2天前","中国人民出版社","2022/01","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","价值 共生"
"3","李尚龙","持续成长","13","成功学","1693381712215.jpg","4","epub","1小时前","浙江出版社","2021/10","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","持续 成长"
"4","朱建军 曹昱","情绪词典","14","认知科学","1693383144955.jpg","4","epub","昨天","中信出版社","2019/08","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","情绪 词典"
"5","弗雷・卡尔","技术陷阱5","14","认知科学","1693380712834.jpg","4.5","epub","2周倩","中信出版社","2020/06","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","技术 陷阱"
"6","弗雷・卡尔","技术陷阱6","14","认知科学","1693380712834.jpg","4.5","epub","2周倩","中信出版社","2020/06","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","技术 陷阱"
"7","弗雷・卡尔","技术陷阱7","14","认知科学","1693380712834.jpg","4.5","epub","2周倩","中信出版社","2020/06","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","技术 陷阱"
"8","弗雷・卡尔","技术陷阱8","14","认知科学","1693380712834.jpg","4.5","epub","2周倩","中信出版社","2020/06","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","技术 陷阱"
"9","弗雷・卡尔","技术陷阱9","14","认知科学","1693380712834.jpg","4.5","epub","2周前","中信出版社","2020/06","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","技术 陷阱"
"10","陈春花","价值共生10","14","认知科学","1693382935689.jpg","3.5","epub","2天前","中国人民出版社","2022/01","<p>本书系统而全面地回顾了近几百年<a target='_blank' href='https://baike.baidu.com/item/技术/13014499?fromModule=lemma_inlink'>技术</a>进步的历史，以及它如何从根本上改变了社会成员之间的经济和政治权力分配。</p><p>本书作者将带领读者们遍览各个时代技术进步对人们工作形态的影响，揭示不同时代“打工人”的处境，并最终将目光转向未来，试图分析当前的AI革命将对我们的工作造成何种影响，以及我们该如何做出应对。作者力图说明，技术进步对收入造成何种影响，将决定人们对它的态度。 </p><p><a target='_blank' href='https://baike.baidu.com/item/工业革命/895?fromModule=lemma_inlink'>工业革命</a>是历史上的重大时刻，但当时几乎没有人意识到它的巨大后果。</p><p>正如本书所表明的那样，工业革命从长远来看创造了前所未有的财富和繁荣，但机械化的直接后果对大量人口来说是毁灭性的。中等收入岗位减少，工资停滞不前，劳动收入占比下降，利润激增，经济不平等加剧。</p><p>本书作者卡尔·贝内迪克特·弗雷证明，这些趋势大体上反映了我们现在这个始于计算机革命的自动化时代的趋势。正如工业革命最终为社会带来非同寻常的利益一样，人工智能系统也有潜力做到这一点。</p><p>《技术陷阱》表明，在眼下这场新的技术革命中，过去的教训可以帮助我们更有效地面对现在的状况。</p>","https://pan.baidu.com/s/1kcy4jmJSgXdtEpOyGjRtMg?pwd=7ihr","价值 共生"
